timestamp,cpu_percent,memory_mb,memory_percent
2026-01-27 20:34:38.942,400,11.70,0.0
2026-01-27 20:34:39.042,118,23.32,0.1
2026-01-27 20:34:39.134,233,52.86,0.3
2026-01-27 20:34:39.243,428,53.07,0.3
2026-01-27 20:34:39.351,516,53.11,0.3
2026-01-27 20:34:39.459,567,53.11,0.3
2026-01-27 20:34:39.571,603,53.12,0.3
2026-01-27 20:34:39.684,615,53.12,0.3
2026-01-27 20:34:39.791,629,53.13,0.3
2026-01-27 20:34:39.897,634,53.14,0.3
2026-01-27 20:34:40.003,644,53.14,0.3
2026-01-27 20:34:40.107,648,53.15,0.3
2026-01-27 20:34:40.217,661,53.16,0.3
2026-01-27 20:34:40.328,670,53.16,0.3
2026-01-27 20:34:40.439,669,53.17,0.3
2026-01-27 20:34:40.544,671,53.18,0.3
2026-01-27 20:34:40.655,673,53.19,0.3
2026-01-27 20:34:40.764,676,53.20,0.3
2026-01-27 20:34:40.870,680,53.20,0.3
2026-01-27 20:34:40.970,683,53.32,0.3
2026-01-27 20:34:41.075,688,53.32,0.3
2026-01-27 20:34:41.185,693,53.32,0.3
2026-01-27 20:34:41.290,695,53.32,0.3
2026-01-27 20:34:41.395,696,53.32,0.3
2026-01-27 20:34:41.503,703,53.32,0.3
2026-01-27 20:34:41.612,702,53.32,0.3
2026-01-27 20:34:41.718,703,53.32,0.3
2026-01-27 20:34:41.825,701,53.32,0.3
2026-01-27 20:34:41.926,703,53.32,0.3
2026-01-27 20:34:42.029,705,53.32,0.3
2026-01-27 20:34:42.130,705,53.32,0.3
2026-01-27 20:34:42.235,708,53.32,0.3
2026-01-27 20:34:42.334,711,53.32,0.3
2026-01-27 20:34:42.438,711,53.32,0.3
2026-01-27 20:34:42.537,712,53.32,0.3
2026-01-27 20:34:42.641,714,53.42,0.3
2026-01-27 20:34:42.740,717,53.42,0.3
2026-01-27 20:34:42.842,714,53.44,0.3
2026-01-27 20:34:42.939,716,53.44,0.3
2026-01-27 20:34:43.042,717,53.44,0.3
2026-01-27 20:34:43.142,719,53.44,0.3
2026-01-27 20:34:43.244,723,53.44,0.3
2026-01-27 20:34:43.344,721,53.44,0.3
2026-01-27 20:34:43.448,722,53.44,0.3
